kind	file	display_name	subtype	source	crop_box	output_size
equipment	assets/card_art/equipment/frostfang_blade.png	霜牙剑	近战武器	武器图片1.png	(0, 0, 100, 130)	(93, 127)
equipment	assets/card_art/equipment/azure_hunt_bow.png	苍蓝猎弓	远程武器	武器图片1.png	(100, 0, 200, 130)	(96, 127)
equipment	assets/card_art/equipment/mana_tonic.png	湛蓝魔力药剂	消耗品	武器图片1.png	(200, 0, 300, 130)	(82, 126)
equipment	assets/card_art/equipment/glacial_crossbow.png	冰棱弩	远程武器	武器图片2.png	(0, 0, 115, 125)	(84, 118)
equipment	assets/card_art/equipment/emberbrand_sword.png	烬火长剑	近战武器	武器图片2.png	(115, 0, 235, 123)	(119, 117)
equipment	assets/card_art/equipment/sapphire_plate.png	蓝晶胸甲	防具	武器图片2.png	(235, 0, 350, 130)	(102, 113)
equipment	assets/card_art/equipment/seastone_ring.png	海晶戒	饰品	武器图片2.png	(0, 125, 115, 260)	(108, 116)
equipment	assets/card_art/equipment/tidecaller_scepter.png	潮汐权杖	法器	武器图片2.png	(115, 123, 235, 260)	(114, 121)
equipment	assets/card_art/equipment/restoration_flask.png	复苏药剂	消耗品	武器图片2.png	(235, 130, 350, 260)	(92, 116)
equipment	assets/card_art/equipment/stormstring_bow.png	风暴弓	远程武器	武器图片3.png	(0, 0, 115, 133)	(101, 128)
equipment	assets/card_art/equipment/inferno_edge.png	炼狱之刃	近战武器	武器图片3.png	(115, 0, 235, 126)	(117, 124)
equipment	assets/card_art/equipment/royal_aegis.png	苍穹礼甲	防具	武器图片3.png	(235, 0, 350, 131)	(96, 118)
equipment	assets/card_art/equipment/starsea_ring.png	星海戒	饰品	武器图片3.png	(0, 133, 115, 260)	(106, 117)
equipment	assets/card_art/equipment/void_orb_scepter.png	虚空法器	法器	武器图片3.png	(115, 126, 235, 260)	(115, 123)
equipment	assets/card_art/equipment/bloodrage_elixir.png	血怒药剂	消耗品	武器图片3.png	(235, 131, 350, 260)	(100, 115)
spell	assets/card_art/spells/blessing_sacred_shield.png	圣盾	强化	法术图片.png	(0, 0, 100, 130)	(100, 130)
spell	assets/card_art/spells/blessing_strength.png	力量祝福	强化	法术图片.png	(100, 0, 200, 130)	(100, 130)
spell	assets/card_art/spells/blessing_vitality.png	生命祝福	强化	法术图片.png	(200, 0, 300, 130)	(100, 128)
spell	assets/card_art/spells/summon_undead_army.png	亡灵大军	召唤	法术图片.png	(300, 0, 400, 130)	(100, 130)
spell	assets/card_art/spells/summon_resurrection.png	死者苏生	召唤	法术图片.png	(400, 0, 500, 130)	(97, 130)
spell	assets/card_art/spells/summon_scarab_swarm.png	甲虫军团	召唤	法术图片.png	(0, 130, 100, 260)	(100, 130)
spell	assets/card_art/spells/damage_fireball.png	火球术	伤害	法术图片.png	(100, 130, 200, 260)	(97, 130)
spell	assets/card_art/spells/damage_sandstorm.png	沙尘暴	伤害	法术图片.png	(200, 130, 300, 260)	(98, 130)
spell	assets/card_art/spells/damage_ice_cone.png	冰锥术	伤害	法术图片.png	(300, 130, 400, 260)	(100, 130)
spell	assets/card_art/spells/support_healing_aura.png	治疗光环	支援	法术图片.png	(400, 130, 500, 260)	(97, 130)
spell	assets/card_art/spells/support_repulsion_aura.png	抗拒光环	支援	法术图片.png	(0, 260, 100, 390)	(100, 118)
spell	assets/card_art/spells/disruption_counterspell.png	法术反制	干扰	法术图片.png	(100, 260, 225, 390)	(122, 116)
spell	assets/card_art/spells/disruption_rust_blade.png	锈刃术	干扰	法术图片.png	(225, 260, 335, 390)	(109, 123)
spell	assets/card_art/spells/disruption_discordant_wave.png	扰乱音波	干扰	法术图片.png	(335, 260, 440, 390)	(101, 122)
